nombre_panel,Irradiancia,Temperatura,Voc,Isc,Ns,alpha_Isc,beta_Voc,Rs,Rsh,Vmpp,Impp,Pmax
panel_HansolTechnicsCo__LtdHS238SB_A06,1000,30,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,30.79559779889945,7.918846063350438,243.86559839833834
panel_HansolTechnicsCo__LtdHS238SB_A06,1000,35,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.33816908454227,7.938323500867429,248.772524117979
panel_HansolTechnicsCo__LtdHS238SB_A06,1000,40,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,31.88074037018509,7.957776320012319,253.69980078231967
panel_HansolTechnicsCo__LtdHS238SB_A06,1000,45,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.423311655827916,7.977205639201807,258.64742458246815
panel_HansolTechnicsCo__LtdHS238SB_A06,1000,50,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,32.98459229614807,7.9920772727308425,263.6154104403378
panel_HansolTechnicsCo__LtdHS238SB_A06,1000,55,37.4,8.46,60,0.00423,-0.12716,0.33807,222.3571,33.527163581790894,8.011532174396141,268.6039497517603
panel_HansolTechnicsCo__LtdHS240SB_A,100,10,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,27.13066533266633,0.7390944589933014,20.05212441617534
panel_HansolTechnicsCo__LtdHS240SB_A,100,15,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,27.59714857428714,0.7402669745762013,20.429257682017468
panel_HansolTechnicsCo__LtdHS240SB_A,100,20,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,28.082291145572782,0.7409325440000274,20.807083419838683
panel_HansolTechnicsCo__LtdHS240SB_A,100,25,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,28.567433716858424,0.7415994542193206,21.185593252868824
panel_HansolTechnicsCo__LtdHS240SB_A,100,30,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,29.052576288144067,0.7422676415869779,21.56478728342645
panel_HansolTechnicsCo__LtdHS240SB_A,100,35,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,29.53771885942971,0.7429370464211548,21.94466560744315
panel_HansolTechnicsCo__LtdHS240SB_A,100,40,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,30.00420210105052,0.7440707760740649,22.325249942811748
panel_HansolTechnicsCo__LtdHS240SB_A,100,45,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,30.489344672336163,0.744736523857384,22.706528565965282
